Name,country,times,year
Hannes Kolehmainen,FIN,14:36.6,1912
Joseph Guillemot,FRA,14:55.6,1920
Paavo Nurmi,FIN,14:31.2,1924
Ville Ritola,FIN,14:38.0,1928
Lauri Lehtinen,FIN,14:29.9,1932
Gunnar Höckert,FIN14:22.2,1936
Gaston Reiff,BEL,14:17.6,1948
Emil Zátopek,CZE,14:06.6,1952
Vladimir Kuts,URS,13:39.6,1956
Murray Halberg,NZL,13:43.76,1960
Bob Schul,USA,13:48.8,1964
Mohamed Gammoudi,TUN,14:05.01,1968
Lasse Viren,FIN,13:26.42,1972
Lasse Viren,FIN,13:24.76,1976
Miruts Yifter,ETH,13:20.91,1980
Saïd Aouita,MAR,13:05.59,1984
John Ngugi,KEN,13:11.70,1988
Dieter Baumann,FRG,13:12.52,1992
Vénuste Niyongabo,BDI,13:07.96,1996
GOLD Million Wolde,ETH,13:35.49,2000
Hicham El Guerrouj,MAR,13:14.39,2004
Kenenisa Bekele,ETH,12:57.82,2008
Mo Farah,GBR,13:41.66,2012
